,Asset,Magnitude
0,asset_radio_cd_player,0.5672906656598651
1,asset_tv,-0.45373779559486516
2,asset_tv_dish,0.2158079309580591
3,asset_vcr_dvd_player,0.10577879203247562
4,asset_refridgerator,-0.11756048204067918
5,asset_generator,0.11986411129026754
6,asset_matress,0.1674795271480968
7,asset_mobile_phone,0.012193359924020375
8,asset_non_mobile_phone,0.08861629739643304
9,asset_iron,-0.3627718313365285
10,asset_bed_frame,0.026589627817395524
11,asset_jewelry,0.40635966760482634
12,asset_mosquito_net,0.1457684355045623
13,asset_mosquito_repellent_candle,0.1171735725703113
14,asset_fan,-0.0098772234160202
15,asset_camera,0.1333719440624205
